epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1638.06,0.45231,0.78456,0.2855,1.04578,0.99958,1,0.995,0.91785,0.99958,1,0.995,0.89356,0.44975,0.72756,0.56477,0.9478,0.0011486,0.0011486,0.0011486
45,1680.39,0.46034,0.81776,0.28957,1.04748,0.9993,1,0.995,0.91867,0.9993,1,0.995,0.8893,0.45436,0.77929,0.26596,0.94645,0.0011288,0.0011288,0.0011288
46,1722.66,0.45698,0.78165,0.29196,1.04442,0.98962,0.99353,0.99463,0.90663,0.98962,0.99353,0.99463,0.89129,0.47016,0.73003,0.28038,0.94887,0.001109,0.001109,0.001109
47,1765.09,0.43805,0.76275,0.27519,1.02984,0.99983,1,0.995,0.91099,0.99983,1,0.995,0.89113,0.43749,0.68932,0.2913,0.92374,0.0010892,0.0010892,0.0010892
48,1807.39,0.44936,0.76891,0.27495,1.03468,0.99967,1,0.995,0.92334,0.99967,1,0.995,0.90266,0.44201,0.71066,0.25634,0.93091,0.0010694,0.0010694,0.0010694
49,1849.68,0.45008,0.77459,0.28279,1.0324,1,0.99884,0.995,0.91729,1,0.99884,0.995,0.89819,0.44256,0.72351,0.29162,0.89854,0.0010496,0.0010496,0.0010496
50,1891.83,0.44234,0.761,0.27811,1.02879,0.99956,1,0.995,0.91998,0.99956,1,0.995,0.90236,0.43251,0.68459,0.25637,0.93813,0.0010298,0.0010298,0.0010298
51,1935.35,0.43351,0.74495,0.26916,1.02956,0.9991,0.99479,0.995,0.92759,1,0.99899,0.995,0.89651,0.42403,0.7407,0.25693,0.92273,0.00101,0.00101,0.00101
52,1978.03,0.42772,0.7514,0.27306,1.02081,0.99845,1,0.995,0.92067,0.99845,1,0.995,0.89002,0.43827,0.74759,0.28911,0.92816,0.0009902,0.0009902,0.0009902
53,2020.45,0.43293,0.74034,0.26828,1.02911,0.99966,1,0.995,0.91654,0.99966,1,0.995,0.89345,0.44949,0.73484,0.23784,0.94401,0.0009704,0.0009704,0.0009704
54,2062.93,0.42662,0.73456,0.26657,1.02539,0.99955,1,0.995,0.91559,0.99955,1,0.995,0.89253,0.44492,0.75143,0.27559,0.956,0.0009506,0.0009506,0.0009506
55,2105.45,0.41955,0.73075,0.25786,1.01848,0.99943,1,0.995,0.92741,0.99943,1,0.995,0.89837,0.42304,0.72992,0.22996,0.90482,0.0009308,0.0009308,0.0009308
56,2148.01,0.41644,0.72551,0.26145,1.01745,0.99957,1,0.995,0.92044,0.99957,1,0.995,0.89203,0.43927,0.74496,0.24961,0.95967,0.000911,0.000911,0.000911
57,2190.26,0.41108,0.7086,0.25993,1.01015,0.99445,1,0.99495,0.93173,0.99445,1,0.99495,0.90852,0.41077,0.71216,0.23,0.9182,0.0008912,0.0008912,0.0008912
58,2232.74,0.40928,0.72959,0.25311,1.01238,0.99979,1,0.995,0.92051,0.99979,1,0.995,0.90935,0.4584,0.68856,0.25768,0.96449,0.0008714,0.0008714,0.0008714
59,2275.15,0.41401,0.71587,0.25716,1.01182,0.99897,1,0.995,0.92958,0.99897,1,0.995,0.91264,0.43653,0.73239,0.23493,0.94243,0.0008516,0.0008516,0.0008516
60,2318.16,0.39958,0.70256,0.24745,1.01121,0.99948,1,0.995,0.92487,0.99948,1,0.995,0.91056,0.43669,0.68418,0.23999,0.95646,0.0008318,0.0008318,0.0008318
61,2361.77,0.39929,0.70306,0.25132,1.00448,0.9996,1,0.995,0.91882,0.9996,1,0.995,0.90559,0.41536,0.72767,0.23351,0.92349,0.000812,0.000812,0.000812
62,2404.45,0.41452,0.70927,0.2544,1.0172,0.99714,1,0.995,0.92544,0.99714,1,0.995,0.90876,0.41622,0.67007,0.27865,0.90997,0.0007922,0.0007922,0.0007922
63,2447.01,0.39403,0.68236,0.25137,1.00827,0.99939,1,0.995,0.92303,0.99939,1,0.995,0.90027,0.41804,0.74916,0.23273,0.92924,0.0007724,0.0007724,0.0007724
64,2489.59,0.3878,0.68006,0.24596,0.99873,0.99941,1,0.995,0.93439,0.99941,1,0.995,0.90631,0.40352,0.7363,0.23784,0.92655,0.0007526,0.0007526,0.0007526
65,2532.1,0.38448,0.68794,0.24448,0.99542,0.99934,1,0.995,0.92407,0.99934,1,0.995,0.90795,0.4069,0.72042,0.24079,0.92122,0.0007328,0.0007328,0.0007328
66,2574.48,0.38408,0.67547,0.2422,0.99361,0.99962,1,0.995,0.92928,0.99962,1,0.995,0.90969,0.41173,0.70853,0.22727,0.91959,0.000713,0.000713,0.000713
